,reviews
552,"Stayed here for a family visit. Got the job done, at a good price. But not a well-maintaind room. Basic cheap hotel room."
553,Room has a odor to it
554,"Staff was very nice. The outside appearance is nice. Inside my feet and socks literally turned black from dirty carpet. The Lights, phone, and corners had mold. No pool, coiffed maker broken, half the outlets plugs fell out and a towel had mold on it. I couldn't switch hotels cause area was booked for military graduation."
555,"Gnstiger starting point for Venice visits. Quiet location on the Lido. Lido airfield and boat moorings are within full reach. Rooms quite cramped, but everything is available. Frhstck for Italy extremely rich. Hotel was supposed to regularly sing a chamber yer, as an infestation with bedbugs could be detected."
556,"The hotel was great, staff was great only bad thing was the breakfast as I am a choice hotel guy and most of the comfort suites have a great breakfast this one kinda lacked. But Staff and rest of the hotel was great"
557,the woman has flipped out didn't realize that I had paid through all my stuff in the parking lot by contact was stolen a couple of the items were stolen it will crack them all over the place tons of illegal activity I feared for my life I will never stay there again I beg you not ever stay there if you are single female I was propositioned about 16x it could even walk out of my room I had a layover for 14 hours at the only reason I picked that hotel is it was 1 mile away I cannot believe they stole things from my suitcase and do all my things in the parking lot he did not know that I had booked another day if you guys get off the property get off the property I called the cops I file charges it was the worst experience of my life she did the same thing to another man he threw coffee in her face she got hit its just it was a hole that experience I cannot believe they stole my things out of my suitcase unbelievable
558,"I was really impressed by this Super 8 motel and would recommend it for anybody wanting to or having to be in Columbia, SC."
559,Room was infested with cockroaches
560,"The two rooms given to us did not have running water so the crews were given other rooms but then a lady came yelling at them to get out, when they presented her with the new keys she told them if they did not leave she would call the police. When I tried to get a refund SAM, the mgr said no, they left because they wanted to. We will not refund anything. NOT using them again!"
561,The Breakfast was very good. The host showed us how to use the waffle machine. They also had a good cereal selection. He was very friendly. Location was good to get on the highway to visit fort Jackson. The room was very affordable and clean. I was disappointment no one came to clean the room on the 2nd day. The bed sheet had a large spot of what appeared to be an un-washable cooking grease.
562,"We walked into the lobby and there was stuff all over the place. They set up a folding sight screen to hide their bird and other personal stuff. The motel was a bit creepy. I used one of my shirts to cover the pillow because the place was dirty and not sure I wanted to put my head on their pillow. Had nowhere else to go, otherwise I would have."
563,Glad I only stayed for a few hours. I didn't feel safe at all traveling as a woman alone.
564,Glad I only stayed for a few hours. I didn't feel safe at all traveling as a woman alone.
565,"The hotel was very mediocre - even less than what you would expect from a Super 8. Also, upon check-in, they assessed me an extra 15.00 fee for my dog even though that fee was not disclosed on Hotels.com or the Super 8 hotel interconnect on Policies that is part of the Hotels.com website. Thus the hotel stay turned out to be an 80. a night deal which is more than the amount a rational person would want to pay to stay at a Super 8."
566,"I am very disappointed that the janitor took my personal face cloth and the bath tub drain looked like a scorpion and there was dust on the bathroom wall,air conditioner,and furniture and most importantly just because I booked my room through 3rd party they did not give me a receipt which is not"
567,We stayed here because of a family medical emergency. Did not have any options for a room. We had the SMALL queen room--think it may have been laundry area previously. Bed fair. Room quite. Was OK for one night. This hotel is near the stadium. Price was ok .99 plus tax.
568,"I wanted a cheap hotel while traveling and found this motel. Although cheap, I was still disappointed especially since it still reeked of smoke even though we requested nonsmoking. Also, the walls were paper thin which was not cool. But, it was a cheap bed for the night, so that's what counts."
569,The hotel stay was alright. I will not stay at the location again.
570,The hotel stay was alright. I will not stay at the location again.
571,to share your opinion of this businesswith YP visitors across the United Statesand in your neighborhood
572,"The Hotel was perfect and the food was excellent, close to the beach, 5 kind of restaurant, the Hotel staff is very friendly,"
573,"I'ts a nice medium size hotel on the beach. With two stories buildings and a few pools spread out. The best part was definitely the staff They truly seem to enjoy their jobs and that makes all the difference. We stayed for four days and had a great, relaxing time. We went as a couple, but could come back with our children: There's a kid's club and some of the rooms have direct access -right of the back door- to a canal system that connect to one pool. If you walk down the beach, five minutes away, you will end crossing a nude beach/hotel. If you have a problem seeing naked people enjoying the sun, walk the other side (to the docks)"
574,"The resort was beautiful, well kept, and the room was luxurious without being opulent. We upgraded to a swim up room, which was fun for my 10 year old. Every restaurant was great, and so was the room service food. Lots of places to swim, either at the resort or the beach. The staff was consistently friendly and courteous. They had inexpensive activities like paddle boarding and kayaking available, of which we took advantage. My only complaint would be that I had trouble with the Wifi, which I paid to have unlimited access to, but it seemed spotty and inconsistent. Otherwise everything about the resort was lovely, including our giant bathtub. I would happily stay here again, with or without my little one."
575,Very positive experience. Could have not ask for a nicer facility with great amenities. Everyone was very nice and recommend for families for sure.
576,First class.
577,"nice hotel, lots of accommodations for children. Snorkeling was great! 24 he room service was nice too! Spa was amazing!!"
578,"This is the old address for Thunderbird. The new one is:Thunderbird School of Global Management1 Global PlaceGlendale, AZ 85306-6000 USASee their website:http://www.thunderbird.edu/about_thunderbird/contact_us.htm"
579,"The food was great, the service was very inconsistent. Staff are generally very nice and friendly but often got orders wrong, forgot about requests or got us completely different items. This was a challenge given we were traveling with an infant. The front desk staff and concierge services were inconsistent and inflexible as well."
580,"The positives: Awesome lobby and checkin., resturants above average and 5 to choose from/ room service all hours/ beach is lovely and close/ very clean resort /close to cancun airport./ reasonable workout area Negatives: - staff always seems to be angling for a tip/ the cabana boy mafia controls all the ebacj spots and you have to play their tip game to get a spot/ clothing optional swingers beach is next resort down the beach/ no shuttles to airport or cars to rent to drive to nearby puerto morelos/ way too many kids and children over spring break. Not 1 16-18 year old boy for my daughter to socialize with./ expesive wi fi is not part of all inclusive"
581,"The front desk and management we dealt we were very poor. Every simple request required multiple phone calls, and they placed us in a room directly across from daily construction which lasted past 8pm on two occasions, even though we had an infant with us who needed to nap and go to bed early at night. When we asked a manager if we could change rooms, she declined and told us it would end at 5pm that day and there would be no more for the remainder of our trip. It lasted two more full days, and she conveniently had the next day off so we could not address it with her. Also, the check-in process was awful as they made us wait three hours in the hot and humid conditions for our room. However, the restaurants (and their staff) are excellent. I can't say enough about the staff at Blue, as they were extremely friendly and always went out of their way to put a smile on everyone's face. The food at all three dinner restaurants (as well as Chil for lunch) was very good, and service was mostly great throughout. Our room itself was very clean, and the pool areas are fantastic. Also, room service was very fast and was also delicious. It was a shame that the front desk dropped the ball on so many occasions because it really could have been an awesome trip, but it was unfortunately blemished by poor customer service on the front end."
582,"The front desk and management we dealt we were very poor. Every simple request required multiple phone calls, and they placed us in a room directly across from daily construction which lasted past 8pm on two occasions, even though we had an infant with us who needed to nap and go to bed early at night. When we asked a manager if we could change rooms, she declined and told us it would end at 5pm that day and there would be no more for the remainder of our trip. It lasted two more full days, and she conveniently had the next day off so we could not address it with her. Also, the check-in process was awful as they made us wait three hours in the hot and humid conditions for our room. However, the restaurants (and their staff) are excellent. I can't say enough about the staff at Blue, as they were extremely friendly and always went out of their way to put a smile on everyone's face. The food at all three dinner restaurants (as well as Chil for lunch) was very good, and service was mostly great throughout. Our room itself was very clean, and the pool areas are fantastic. Also, room service was very fast and was also delicious. It was a shame that the front desk dropped the ball on so many occasions because it really could have been an awesome trip, but it was unfortunately blemished by poor customer service on the front end."
583,"The front desk and management we dealt we were very poor. Every simple request required multiple phone calls, and they placed us in a room directly across from daily construction which lasted past 8pm on two occasions, even though we had an infant with us who needed to nap and go to bed early at night. When we asked a manager if we could change rooms, she declined and told us it would end at 5pm that day and there would be no more for the remainder of our trip. It lasted two more full days, and she conveniently had the next day off so we could not address it with her. Also, the check-in process was awful as they made us wait three hours in the hot and humid conditions for our room. However, the restaurants (and their staff) are excellent. I can't say enough about the staff at Blue, as they were extremely friendly and always went out of their way to put a smile on everyone's face. The food at all three dinner restaurants (as well as Chil for lunch) was very good, and service was mostly great throughout. Our room itself was very clean, and the pool areas are fantastic. Also, room service was very fast and was also delicious. It was a shame that the front desk dropped the ball on so many occasions because it really could have been an awesome trip, but it was unfortunately blemished by poor customer service on the front end."
584,The food was excellent
585,"The Hotel is nice and the staff very friendly,the beach is very close to the rooms and is very good for families however they have many opportunities to improve. The beach cabanas must be booked the day before and we were not notified when we arrived at the hotel, although it is sold as Gourmet All Inclusive, the food is not really gourmet and the options are limited. They offer drinks and food service on the beach and it does exist, but the person in charge passes by the beach every hour. They do not have transfer service areopuerto-hotel-airport, you have to hire it separately and the hotel does not recommend to anyone specific. It seems to be a little atipic, but there were too many algae at sea, the good thing is that they had hired staff to clean the beach all the time, but it's definitely not enough. The feeding possibilities for babies are very limited and although requests can indeed be made to the chef, the service is very delayed."
586,"We traveled with our 10 mnaders baby and were very happy with Azul Beach. The service was over the question and the staff were extremely helpful and sweet to us and our daughter. B.la they bid for more erstification when vr ran out and cooked special food for her. The hotel also suits those who do not have children and we liked the mixture of gster. We had never before been on an all-inclusive and a ventyr was not. You live no ifthe Maya Riviera's many excursions and even though we had a car, there was nothing to kra. Sure, we were happy that it was not lg in Cancun's hotel zone but after a while the hotel area was small. Even so, we can really get back to the quiet, bekvma and child-friendly!"
587,Charming hotel. Good food for an all inclusive. Great for kids.
588,"Beautiful hotel with a Kids Club but still maintains that exclusive feel. Staff goes out if their way to please you. All inclusive implies programming, but trust me, they customize things to please their guests. Wonderful food and wine. One of my best hotel experiences ever."
589,to share your opinion of this businesswith YP visitors across the United Statesand in your neighborhood
590,"We made our reservations a month in advance, my wife called on the day we are suppose to check in, gets the run around of whether or not they will have a room or not! Who runs a business like this When they found a room we were given a couple cards, neither of which opened the door. Overall, you have no feeling of security, even if you are parked next to your room i was constantly checking outside on my vehicle."
591,"Attention do not stay here for any reason! If there's no hotels available you'd be better off staying in your vehicle showering a truck stop! They treat their customers like crap, walk in your room w/out permission(waiting for you say anything), try to rush you out the rooms w/the doors open customers aren't dressed. If you leave your stuff in the rm they make you pay 25 to get it out won't give you a shuttle ride anywhere until you do. The showers are cold. I told the van driver just a minute after she knocked she swung the door open claiming she didn't hear me. I told her I needed to get dressed she snatched the door open againx2 the curtains while I was getting ready. Don't under any circumstance stay here pleaseyou'll regret it! That star needs to be a negative 5!"
592,"I am the disabled victim of a drunk driver. For 5 years now, I have been on very heavy doses of narcotic pain medication, and will be for life. It is very dangerous living alone, and I won't tolerate another human living with me. So, I have a specially trained dog trained as an alert dog to watch me and make my life safe to live. Last month, we (my dog, Dana and I) went to Ft Lauderdale, and we stayed at the Ocean breeze motel. We had a wonderful stay. The motel doesn't allow regular p... view moreets, which is one of the reasons we chose it. Less to possibly distract Dana. Beyond that, the rates were low enough for a lower income (the drunk was uninsured) disabled man and his K9 assistant. The owners treated us wonderfully, as they treat their property. What a great place to spend a week in paradise. After the grueling Chicago winter we have suffered (08-09), this motel felt like our home away from home, and we would definitely choose them if we ever would go to Ft Lauderdale again. Shaun Adams and Dana the Doberman service dog Chicago, Ilview less"
593,"I am the disabled victim of a drunk driver. For 5 years now, I have been on very heavy doses of narcotic pain medication, and will be for life. It is very dangerous living alone, and I won't tolerate another human living with me. So, I have a specially trained dog trained as an alert dog to watch me and make my life safe to live. Last month, we (my dog, Dana and I) went to Ft Lauderdale, and we stayed at the Ocean breeze motel. We had a wonderful stay. The motel doesn't allow regular pets, which is one of the reasons we chose it. Less to possibly distract Dana. Beyond that, the rates were low enough for a lower income (the drunk was uninsured) disabled man and his K9 assistant. The owners treated us wonderfully, as they treat their property. What a great place to spend a week in paradise. After the grueling Chicago winter we have suffered (08-09), this motel felt like our home away from home, and we would definitely choose them if we ever would go to Ft Lauderdale again. br Shaun Adams and Dana the Doberman service dog br Chicago, Il"
594,"Hotel was off the strip, but close to a shortcut to downtown -made it easier to avoid some of the traffic. When I was checking in, lady had a meeting or something to get to, so I felt like I was inconveniencing her. Her replacement was ok, not really friendly, but not rude. Staff was better the next day."
595,"This Days Inn is located off the Strip which is what we wanted. It was still just a few minutes drive to anywhere we wished to go in Branson. The breakfast included waffles, eggs, sausage, biscuits and gravy as well as cold cereals and oatmeal. The property is on a steep hill, so park closer to the street and use the stairs closer to the front so you'll have fewer flights of stairs to climb. The only complaint we had was that our room's carpet was dirty, evidently from what the parking lot and walking surfaces had been paved with. We would stay here again though."
596,We stayed recently just to take our kids to Silver Dollar City. This is a motel and it is very noisy until at least 11:00 PM. The rooms are fine enough. Breakfast is a scrum of 15-25 people trying to get at the food while you are dodging small children. There are a lot of kids so don't stay if you aren't into the kid scene.
597,Very helpful staff
598,It was just ok. Would try to stay some where else next time.
599,"Clean and comfortable, nice hotel for its price range, good location--we enjoyed our 2-night stay. FYI, the outdoor pool is open until 11 p.m. poolside rooms are fine if you are vacationing with teens or night owls, but if you have toddlers/young children or anyone who prefers to go to bed early in your party, you may want to request a room on another side of the hotel--pool party noise kept us up late the first night (and we WERE the pool party noise the second night when we weren't worn out from traveling!) Several choices for breakfast (make-your-own waffles, biscuits and gravy, eggs, sausage, doughnuts, cereal, toast, yogurt, apples, fruit juice, milk, etc.) and you can get small discounts on tickets to several attractions if you purchase vouchers at front desk. The only very minor service/room condition complaints we had were that one of the electrical outlets was pulling out of the wall, that we had to call to request replacement shampoo/conditioner the second night, and also when we requested pool towels shortly before pool closing, we were asked to go to the front desk to get them, as they could not bring them down to the pool towel cabinet for us at that time (no big deal unless you're already wet from the pool, of course!) Overall, our three-room party of extended family had a good experience, and would stay again."
600,"The room was fine and the mattress was very comfortable. Unfortunately, I arrived while the front entrance was under-construction. There was not sufficient signage to find out how to enter the building. I would have left, had I not already had a reservation through Hotels.com."
601,My family enjoyed our stay. The room was clean and the price definitely made it worthwhile. We would stay here again.
602,Staff helpful and informative- room clean. Kids enjoy the pool area.
603,A great place to stay. Great people there.
604,"This hotel was rented for a couple on vacation from Illinois. We are a young couple so money is tight. This hotel was decent and the price could not be beat. The room was a little dirty (like the floor, for example) but I expected it. I do have a few things to caution you of: -The continental breakfast is less than stellar, but it gets the job done -Rooms by the pool are loud"
605,The hotel was very clean and well kept during our stay there. The pool was a decent size and very clean. The breakfast left a little to be desired. Overall for the price it was great. I would stay there again.
606,I was very disappointed. The reservation was messed up when I got there and they had charged my card instead of letting me pay cash as first agreed on. And then the desk person refused to cancel the extra room even though I had not requested it and I had to do my own calling to get problem corrected and I am still not sure it is fixed. Very unhappy with all of it. Room not comfortable. Spider was in my towel. And it did not help to have a room for someone with walking handicap because I had to walk up an incline on the driveway to get to my room. I will never use hotels.com again nor will I ever stay at this motel again. Ever!!!
607,room was clean breakfast was good stayed 4 days same breakfast every day was good away from attractions which was good no traffic but couldnt walk to anything which was bad but was in central location so it was easy to drive to
608,"The staff was very nice and helpful. The rooms were clean, but the beds weren't all that comfortable. The pool was small but clean. I will stay again if we ever go back."
609,"For starters, hotel staff was great. Very pleasant. However, upon entering the room, I discovered that it needed to be vacuumed and the bathroom was a bit dated. When I woke the next morning, I could see sunshine coming through the edges of the door. While I wasn't concerned for my safety, I did wonder how many bugs were coming to visit me during the night!!"
610,"have stayed there before.... Clean, continental breakfast is a continental breakfast..... quiet. and easy to get in and out of. Beginning to need some make over from the amount of traffice it serves....."
611,Reprehensible three days without maid service despite telling the management after it had happened the first time. I would not recommend this hotel for this reason.
612,"Very enjoyable stay. Room very clean and comfortable, staff were very accommodating, excellent breakfast ."
613,"The stay at this hotel was a good experience for me and our entourage. Room was decent and in a quiet area. Staff was good, but the hotel needs to better improve their handicapped parking area near the main entrance."
614,Older hotel that could use some refreshing. Initial room smelled of cat urine. Comforter was old and tattered. Sitting chairs were stained. Staff was helpful. Moved to another room w/o incident. Overall satisfaction was fair. For a few dollars more could get something nicer. Breakfast was very good.
615,"Great price thru Hotels.com, manager could not believe the rate. Not on the strip, convenient access to Hwy 76, Shows Silver Dollar City. Breakfast was better than most motel breakfasts."
616,Hot breakfast was great! Staff pleasant and accommodating. Great location with new restaurant next door. Outdoor pool was clean. Free Wi-Fi was hit with the kids. Would stay there again.
617,"Affordable place to stay. Coffee pot in room, fridge clean but a little outdated"
618,"It has been years since I've stayed in a Day's inn but based on the rate and location I decided to go ahead and book my room there. I was very pleasantly surprised. I expected a very basic motel and was surprised at the spaciousness and quality of the room and extra perks, eg. breakfast, refrig. etc. I will certainly consider staying at a Days Inn again."
619,"Managet talked over us and wouldnt listen 2 us. Put us n wrong room. Bed was a bowl and killed our back and hips. 2nd room ac didnt work right, bathroom door didnt shut all the way, bathroom vent sounded like a freight train, could hear vents n other rooms."
620,Very nice and Drafts Pub Grille just opened next door. Very handy.
621,Nice hotel for the price. The staff was very friendly with a great attitude. The only bad thing I can say about my stay was the fitted sheets for the king size bed didn't fit and I had to keep waking up to put them back on
622,"The pictures on the web site were more expensive looking then the reality. We were told we had one of the best rooms, besides staring at cargo containers, the TV would not work so they changed our room. It was not well furnished and we could not regulate the air conditioner (way too warm for sleeping). The continental breakfast was good and the staff was very nice and helpful. The linens were harsh and uncomfortable. Sorry, but this was not at all what I expected and it was certainly unacceptable."
623,"This hotel was great. Nice area, clean, and close to strip and outlet stores. Only negative was the the shower head needed to be a foot higher. Im 6ft and I had a hard time washing my hair. Any taller than 5'7, you will have some trouble showering here. Other than that, I would of given this hotel a 5 but I would stay here again."
624,It was a good stay. Didn't stay in room much for all the shopping and Silver Dollar City. Was so glad they have football channels so we could was our team win. This is the first hotel that the refrigerator kept our drinks and food cold. Sink water was hard to turn on and then it would spray water on you. Would stay there again.
625,"We had a great stay. I definitely appreciated having the a/c cranked up when I walked into the room, especially since it was 100 that day! Room was comfortable and decent rate. Thanks!"
626,Front desk was friendly and helpful! Discovered a waterfall hiking trail around the corner where we could walk dogs. Great biscuits and gravy breakfast!
627,1 of the queen beds was broken in room. Very uncomfortable sleep that night.
628,The room was clean and comfortable. The breakfast food was more than I expected. Everything was great.
629,It was way to loud and no way we could have got into the pool. If I was you I would never go without shoes in the room the carpet was so nasty. And the rooms seem very dark.
630,Everything about this hotel was great. It was convenient to many activities. Good free breakfast selection. We did not have an opportunity to use the pool because of the weather.
631,My wife and I stayed here recently on our first visit to Branson. The room was clean and updated. The breakfast in the morning was ample and lots of variety. The staff was friendly and very helpful. We booked a show through the hotel at the tribute theater that was a hoot. I would definitely stay here again. Would be a good central location if I was staying with my whole family also. Lots to do in the area.
632,"We thought the hotel was a little tired looking. Drawer handles on the dresser were loose, things like that. The breakfast was the same every day would have liked a little more variety. Staff was very friendly and helpful. The maid service was not very thorough at times, i.e. pulling the sheet up and tucking it in without making sure the mattress pad was in place."
633,The didn't tell me they were gonna run my credit card for accidental for a 100 charge. They just told me they had to double check my ID and the credit card that was used.
634,All facilities including Swimming Pool are very clean. Staff are very friendly. Hotel is centrally located. Great Value for Money.
635,"Hotel is in bad need of repair. Room was old, sink had damage, trim falling apart in bathroom , shower curtain bar so loose, shower curtain was at my feet, yuck. Bed ancient with icky old bed spreads. Should be put in one star category. The staff was the best part of this place."
636,Decent. Good location. Made it easy to get around Branson.
637,"The staff were very friendly and courteous,room were clean and the facilities in the hotel good. The continental breakfast has a wide range of choices."
638,"The Hotel was a little dated but still in pretty good condition. The breakfast was outstanding and had a great selection. The eating area was a little small for the crowd that came to breakfast, it just shows how good it was. I would stay here again and I will recommend it to friends and family."
639,The room was simple for the trip but didn't like the fact that the room didn't include a microwave which should be standard
640,"Let's start with the positives. Great location to everything and the staff were super friendly. Now the negatives. Dated and a bit worn, not to my liking and certainly not to my wive and kids either. There were bugs in the room. The kind that fly and some in the bed. We were very displeased and embarrassed. I will not return."
641,"There was a mix-up with Hotel.com, but the hotel staff connected with Hotel.com and both businesses worked it out for us. We highly appreciated that. We were given a room close to Lobby and over the pool, so it was a rather noisy room, but very convenient for our needs. The hotel couldn't help that the volley ball team yelled and ran up down stairs balconies. Just what one has to put up with during the busiest tourist season. However, with the help of the continuous running fan, the wonderful soft bed pillows being so tired, we rested very well. Breakfast was good had something for the diabetic diet, but super crowded. Probably half the folks had to take breakfast back to their rooms."
642,"We rented 2 rooms with double beds, in both rooms the beds were very worn out. NOT COMFORTABLE."
643,"I went to Branson for 4th of July so there were VERY few affordable options as every hotel raised it's prices. I paid close to double the price of what this hotel normally goes for. So I was already paying more than I should (beds and pillows were very uncomfortable) and on top of it, they have a ridiculous pet policy. 10 extra per night is not bad - it's the mandatory 50 cleaning fee whether the animal makes a mess or not. Paid way more than I should for an establishment that did not earn that value."
644,I stayed here with some girlfriends for a wine tasting getaway. The staff pointed out some great wineries and restaurants and were very friendly.
645,"Nothing fancy but met our needs. Quiet, convient and staff very friendly and helpful. Beds were very comfortable."
646,none
647,Our room was not ready until an hour and a half after check in. Then when we went to check out the next morning I waited 5 minutes or so before anyone came to the desk to check me out.
648,Price was a deal. Serving the breakfast saved us a lot of money. The family enjoyed their stay.
649,"Not deluxe but clean and quiet with friendly, competent staff. Good value."
650,Everyone was very friendly. Breakfast area a little crowded. Overall a good stay.
651,"Clean room, good breakfast, easy access."
652,Stay was very enjoyable. Hotel staff was friendly and always busy. We will definitely considering booking another stay when in the area.
653,Hotel was ideally located for a stay in Branson. Close enough to the action without the hassel of the traffic conjestion. Room was clean and comfortable.
654,Have stayed at this motel several times - highly recommend it. Front desk very friendly and helpful. The rest of the staff were very pleasant. The hot full breakfast was beyond words.
655,"Beautiful hotel. Very clean and service was great. This is a must stay and if I'm in need of a hotel in the Livermore area, this is the place to stay."
656,"Stayed here before, will always stay here!"
657,"We stayed here for Luther Family weekend in September. We could not get a hotel in Decorah Iowa and this was the next closest place. It is a small hotel with a small parking lot. Friday night when we checked in we were greeted and given our key, and it is literally a key not the credit card looking keys... More"
658,"I stayed here because I had a family wedding to attend. It definitely had a country feel with quilts and flannel linens. The motel was very clean, and felt comfortable. My room had a microwave and refrigerator. The wi-fi was slow, but usable. I would stay here again."
659,"Stayed here for Parents' Weekend at Luther College in Decorah. Other accommodations were full in town, and this is about 20 minutes away. The motel is a basic older motel. We've stayed here once before, and found it clean, so returned. This time I was less entranced. There are two buildings and we were in a different building this time... More"
660,"The place was easy to find, right on the main drag. Within walking distance to the shopping downtown. The room was clean, had all the amenities, blowdryer, fridge, microwave, clothes iron, coffee maker. Very slightly shabby but homey. Price was affordable. I would stay there again."
661,"We checked into our hotel on a busy Friday night, in this quaint little hotel. We have stayed here several times before and always are reassured that we will have another beautiful weekend, with very comfortable accommodations. The hotel is only about 20 minutes from the college, located in the small town of Harmony. The same family has owned the... More"
662,We stayed here while touring around SE Minnesota. It was a great place to stay and visit some of the sites in the area. The motel is very clean and the room was large with a very comfortable bed. The owners were very helpful with ideas on what to see and how to get there. On Saturday there were Amish... More
663,"Harmony was a good location for me, but other reviews of this motel made me reluctant to try it. Very glad I did. It looks like a chain hotel, right on main highway. Phone was answered on first try to make a reservation. Very friendly staff. Efficient check in. Helpful with directions to trail head. Room 103 was clean and... More"
664,"Very conveniently located, but I wasn't impressed. Had a chance to meet both owners, and they were friendly, but person who was working the desk when we checked in was a bit aloof and cool. Room was old, and the fan/light in the ceiling was shaking so badly that I thought it would fall down on us, so I turned... More"
665,"This summer, we brought our kids to visit the Amish village near the hotel before school started. We chose the Country Lodge Inn for our stay, which was a pleasant experience for us. Friendly, clean, and very comfortable place to stay. Definitely would choose to come again."
666,Pleasant 10 min walk along the sea front to the Water Bus. restaurants etc. Hotel was comfortable breakfast was good - quite a variety. Room aircon didn't work very well. Take mosquito repelant!
667,"The lido is perfect for a few days of tranquillity and relaxation, skn beach, lkkert omrde and small cozy family hotel with a sdt staff"
668,thisplace is beautiful.
669,"The room was big and the hotel staff were nice, but I couldn't get over the smelly linens. When I lay down on the bed, all I could smell was dirty old sweat socks! I don't think they ever used detergent or fabric softener to wash the linens! They were that horrible! I had to spray the linens with perfume so I wouldn't smell them 'au naturel' while I'm sleeping! I'm never going to stay in this hotel ever again!"
670,"A boutique hotel in the converted 19th-century brownstone. It's near some of Boston's most prime shopping spots, and therefore is popular with tourists who aren't going to do the Freedom Trail. Read more"
671,"Go to the Inn at St. Botolph for a night or two. Rates are decent (and apparently a bit negotiable) and rooms come with full kitchenette. Free wifi, gym, and continental breakfast too! Read more"
672,"We have stayed here a few times and each time we are more impressed than our previous visit. We love the location, the rooms are spacious and inviting The room have all the comforts of home We can't wait to plan our next visit"
673,"We were really happy with our choice of this hotel for a 5 night stay in the city. We stayed in a 1 bedroom suite which was classically decorated to a very high standard and had a four poster king bed. The kitchen was very well equipped and included full size fridge, microwave and hob. The range of utensils was... More"
674,"This is the perfect place to stay if you are planning for more than a couple of days stay in Boston. The rooms at Inn at St Botolph's are more like cute little apartments than hotel rooms. The decor is funky/eclectic and the space, while compact, is utilized well. I like that I am not paying for things I don't... More"
675,"The rooms are clean and the owners are friendly. It feels like your own home. The hotel is in the middle of many scenic areas. There is a biking trail that covers the Preston valley, apple orchards, and caverns, and there are Amish families in the area. On Saturday mornings the Amish have a farmers market where they sell baked... More"
676,"a boutique hotel in the converted 19th-century brownstone. it's near some of boston's most prime shopping spots, and therefore is popular with tourists who aren't going to do the freedom trail. read more"
677,Thisplace is beautiful.
678,"go to the inn at st. botolph for a night or two. rates are decent (and apparently a bit negotiable) and rooms come with full kitchenette. free wifi, gym, and continental breakfast too! read more"
679,"This was a trendy boutique hotel right in the city. But because it was one block off the main road, it seems like the burbs... very quiet. Super friendly when asking questions before booking and really like the modern room furnishing. And so convenient to my meetings downtown. And great sushi across the street!"
680,"Nice place no complaints, one thing they didn't tell me,is they put a 100 hold on your card that stays for a couple days after you check out. I know this is not rare but any place that does has told me. I ended up calling trying to get it refunded. The breakfast in morning was pretty good, they had a full buffet not just some pakage pastries. Leave your swimsuit at home though the pool is small very small."
681,"This really felt like home from home. The location is very convenient, near to the T Green Line. The area is full of atmospheric, residential streets and there is the Prudential Center for shops and services. We had a comfortable suite with excellent Wi-Fi included. The set-up is different in that you pay in full on booking (which did worry... More"
682,"The staff was impressively thoughtful and accommodating. The room had great natural light, lots of space, quiet surroundings and a full kitchen - stove top, refrigerator, toaster, microwave, etc. The kitchen allowed us to not over eat at so many of Boston's fine restaurants and bring leftovers home for in-between meals or snacks. The location was excellent and it's a... More"
683,"This hotel is located in the residential area but it is in the back bay central area. So if you want to stay in the center but avoid the noise, this is the place. The room is a suite so you may cook. Everything is well designed and has an elegant touch in the room. Staff was super friendly and... More"
684,"We loved it so much we wanted to live there Perfect location, great snacks in the lounge, beautiful room, clean, nice amenities. The people in the office were very helpful. My only tiny complaint is we arrived early and informed our room would be ready in 30 min and one hour later had to search someone out and then informed... More"
685,We stayed at the Inn for two nights while visiting Boston. We were able to check in early and get in to our large beautiful studio with a spacious bathroom on the first floor. The Inn was centrally located to the shops at Prudential and the beginning of the Freedom Trail was about a 15 minute walk. There were many... More
686,"I spent three days in this wonderful hotel, the price was reasonable, and it's really clean. if you travel with your family, I recommend this Inn for you to choose. you can cook and make your own food for your kids if they can not stand American food. I like this place, and will come choose again when I go... More"
687,"We had a wonderful stay in the studio room. Comfortable, convenient and the self-serve breakfast was ideal. This boutique-sized inn also has an excellent location in a beautiful residential street and just short blocks from the Prudential building and shopping galore. We'll stay there again when in Boston."
688,"I stayed at this hotel on a last minute Boston getaway and found it clean, spacious and very conveniently located. I booked a second reservation with the Inn at St. Botolph for Parent's Weekend at my daughter's university. Because these types of events often create shortages in hotel rooms, I booked early. I just looked at my credit card bill... More"
689,"We had a nice experience here. The place is like a small apartment and felt like it. Pros: excellent location- around the corner from the T and walking distance to many shops, restaurants, and Prudential Center. The rooms are nicely decorated and updated bathroom. It was easy to enter and exit our building and get going for the day, as... More"
690,"Certainly a great location for walking around Boston. Handy to shops and lots of rest/bars etc. within 10 min walk. Apartment has been renovated and at the front top room, is very sunny and pleasant. it was one of the larger rooms. However, the sound proofing was not good and we could hear people in the room next door, and... More"
691,Great stay for our night downtown Livermore at Bankhead Theater concert. Birthday celebration for friend. The most comfortable bed ever! Nice patio where we spent our morning catching up. Hotel under construction did not bother us.
692,This small apartment style accommodation is very nicely placed on historic St Botolph Street but close to the modern city. It's rooms are well equipped and comfortable with facilities for self service meals and food storage. Ideal for our three day Boston visit.
